ciudad_id,num_trabajador,refresco_id,rfc_cliente,rfc_tienda,dia_id,cantidad_venta,venta_$
7,1009,7,CER881112L67,CHI8889990002,5,73,1825.0
6,1006,9,AXO901201T89,OXN3334445556,42,116,1624.0
8,1010,6,AXO901201T89,OXC1234567890,44,60,720.0
6,1006,8,CER881112L67,CHM1112223334,6,184,4600.0
9,1008,5,AXO901201T89,OXS8889990001,26,149,1788.0
5,1004,9,AXO901201T89,OXI9876543210,38,78,1092.0
3,1009,3,SOR900728N45,SOR9990001112,18,158,2370.0
3,1010,10,WAL920304R34,WAL7778889991,45,86,1548.0
1,1007,4,WAL920304R34,WAL2223334447,39,52,624.0
5,1001,8,WAL920304R34,WAL0001112223,14,30,750.0
10,1006,2,SOR900728N45,SOR0001112223,3,101,1515.0
3,1003,4,AXO901201T89,OXS8889990001,3,89,1068.0
1,1001,6,SOR900728N45,SOR7778889990,19,116,1392.0
2,1009,10,SOR900728N45,SOR0001112223,34,26,468.0
7,1002,4,SEV850615M56,SEV5556667771,50,123,1476.0
4,1008,6,AXO901201T89,OXL2223334445,43,125,1500.0
7,1005,8,CER881112L67,CHM1112223334,2,74,1850.0
8,1002,8,SOR900728N45,SOR7778889990,5,173,4325.0
5,1006,4,SEV850615M56,SEV6667778880,43,52,624.0
9,1006,5,CER881112L67,CHT7778889991,42,40,480.0
8,1001,10,AXO901201T89,OXC1234567890,8,64,1152.0
8,1010,2,AXO901201T89,OXH1112223337,21,174,2610.0
1,1002,2,SEV850615M56,SEV9990001112,43,61,915.0
9,1002,7,AXO901201T89,OXI9876543210,47,230,5750.0
8,1006,4,AXO901201T89,OXC1234567890,25,89,1068.0
2,1004,1,SEV850615M56,SEV6667778880,48,77,1155.0
1,1009,5,AXO901201T89,OXG0001112224,19,119,1428.0
8,1004,1,AXO901201T89,OXB4445556669,45,126,1890.0
8,1008,3,SEV850615M56,SEV2223334445,7,158,2370.0
3,1010,10,SOR900728N45,SOR6667778889,11,149,2682.0
3,1007,2,SOR900728N45,SOR0001112223,1,32,480.0
2,1005,7,SEV850615M56,SEV3334445556,50,190,4750.0
6,1004,4,CER881112L67,CHP6667778889,43,46,552.0
8,1004,3,AXO901201T89,OXR1112223334,37,153,2295.0
10,1008,6,AXO901201T89,OXC7778889990,7,150,1800.0
5,1005,5,AXO901201T89,OXP9990001112,10,86,1032.0
10,1008,6,CER881112L67,CHS5556667778,11,120,1440.0
2,1008,6,AXO901201T89,OXP3334445557,46,92,1104.0
9,1009,5,WAL920304R34,WAL6667778889,5,30,360.0
6,1008,4,AXO901201T89,OXH1112223337,30,101,1212.0
3,1006,6,AXO901201T89,OXG0001112224,46,111,1332.0
6,1008,9,AXO901201T89,OXJ0001112225,50,64,896.0
3,1004,3,SEV850615M56,SEV4445556667,45,107,1605.0
3,1007,5,WAL920304R34,WAL4445556667,8,37,444.0
4,1007,4,AXO901201T89,OXC1234567890,25,97,1164.0
3,1007,10,SEV850615M56,SEV5556667779,26,122,2196.0
6,1002,6,CER881112L67,CHM1112223334,36,113,1356.0
9,1008,6,AXO901201T89,OXS8889990001,48,123,1476.0
10,1009,5,WAL920304R34,WAL7778889991,2,112,1344.0
2,1004,8,AXO901201T89,OXH1112223337,29,130,3250.0
2,1010,3,AXO901201T89,OXL4445556668,3,116,1740.0
8,1007,7,CER881112L67,CHI8889990002,8,126,3150.0
5,1004,6,WAL920304R34,WAL6667778889,12,31,372.0
3,1006,5,AXO901201T89,OXC1234567890,27,66,792.0
3,1003,10,WAL920304R34,WAL1112223335,50,57,1026.0
3,1006,3,CER881112L67,CHE4445556667,26,192,2880.0
4,1005,7,AXO901201T89,OXH1112223337,48,262,6550.0
3,1001,9,CER881112L67,CHN3334445558,27,129,1806.0
1,1009,6,SEV850615M56,SEV4445556667,3,46,552.0
8,1009,5,SEV850615M56,SEV9990001112,35,143,1716.0
2,1009,10,SOR900728N45,SOR6667778889,14,70,1260.0
5,1007,10,CER881112L67,CHS5556667778,4,140,2520.0
3,1006,10,AXO901201T89,OXC7778889990,39,150,2700.0
5,1002,6,CER881112L67,CHE4445556667,37,48,576.0
10,1009,5,CER881112L67,CHM1112223334,32,101,1212.0
4,1007,4,SOR900728N45,SOR0001112223,1,58,696.0
2,1010,8,AXO901201T89,OXD8889990002,28,36,900.0
6,1004,1,AXO901201T89,OXP9990001112,15,66,990.0
5,1004,3,SEV850615M56,SEV3334445556,50,113,1695.0
10,1010,2,SOR900728N45,SOR7778889990,47,130,1950.0
5,1002,7,AXO901201T89,OXP9990001112,20,205,5125.0
2,1002,2,AXO901201T89,OXH1112223337,35,130,1950.0
7,1001,7,AXO901201T89,OXC1234567890,44,281,7025.0
4,1008,8,AXO901201T89,OXS8889990001,10,169,4225.0
8,1002,5,AXO901201T89,OXH1112223337,34,143,1716.0
7,1004,7,CER881112L67,CHN3334445558,41,204,5100.0
2,1003,4,SOR900728N45,SOR6667778889,7,48,576.0
10,1005,5,SOR900728N45,SOR8889990001,14,22,264.0
6,1008,8,AXO901201T89,OXC1234567890,30,143,3575.0
5,1010,7,AXO901201T89,OXC1234567890,41,205,5125.0
2,1001,4,SEV850615M56,SEV5556667771,4,20,240.0
6,1004,1,CER881112L67,CHM1112223334,31,182,2730.0
1,1010,3,SEV850615M56,SEV5556667779,35,121,1815.0
10,1004,10,AXO901201T89,OXX3334445556,37,53,954.0
6,1002,2,AXO901201T89,OXP3334445557,40,186,2790.0
9,1006,1,AXO901201T89,OXP3334445557,15,99,1485.0
3,1002,1,AXO901201T89,OXB4445556669,29,129,1935.0
9,1003,7,WAL920304R34,WAL7778889991,27,122,3050.0
10,1010,8,AXO901201T89,OXX3334445556,41,93,2325.0
5,1004,4,WAL920304R34,WAL1112223334,26,91,1092.0
10,1001,2,AXO901201T89,OXS8889990001,35,147,2205.0
7,1005,7,CER881112L67,CHM1112223334,12,213,5325.0
7,1001,7,AXO901201T89,OXD8889990002,47,71,1775.0
6,1001,3,CER881112L67,CHN3334445558,46,190,2850.0
5,1002,3,WAL920304R34,WAL7778889991,37,185,2775.0
10,1005,4,AXO901201T89,OXC7778889990,32,141,1692.0
7,1001,9,WAL920304R34,WAL6667778889,46,20,280.0
3,1006,1,AXO901201T89,OXC7778889990,6,220,3300.0
1,1009,7,SOR900728N45,SOR9990001112,35,145,3625.0
10,1008,1,AXO901201T89,OXR1112223334,45,222,3330.0
1,1008,1,WAL920304R34,WAL6667778889,33,116,1740.0
2,1006,8,SEV850615M56,SEV5556667779,2,41,1025.0
5,1002,8,AXO901201T89,OXM9990001114,10,56,1400.0
1,1008,1,WAL920304R34,WAL6667778890,26,264,3960.0
10,1004,8,AXO901201T89,OXS8889990001,21,100,2500.0
5,1008,5,AXO901201T89,OXP3334445557,40,26,312.0
8,1003,4,SEV850615M56,SEV6667778880,45,123,1476.0
3,1004,9,AXO901201T89,OXX3334445556,16,69,966.0
6,1005,2,AXO901201T89,OXB4445556669,9,144,2160.0
7,1004,1,AXO901201T89,OXL4445556668,33,280,4200.0
2,1010,6,AXO901201T89,OXD8889990002,27,116,1392.0
7,1005,2,AXO901201T89,OXM9990001114,21,200,3000.0
10,1008,10,CER881112L67,CHN3334445558,21,87,1566.0
9,1005,5,WAL920304R34,WAL0001112223,31,92,1104.0
8,1010,4,AXO901201T89,OXD8889990002,16,96,1152.0
2,1010,4,CER881112L67,CHI8889990002,8,109,1308.0
5,1007,3,AXO901201T89,OXZ5556667770,39,174,2610.0
10,1001,2,AXO901201T89,OXG0001112224,26,191,2865.0
7,1010,5,SEV850615M56,SEV3334445556,9,49,588.0
1,1007,7,CER881112L67,CHP6667778889,7,147,3675.0
8,1009,10,AXO901201T89,OXG0001112224,48,142,2556.0
3,1007,4,CER881112L67,CHE4445556667,2,25,300.0
4,1010,5,CER881112L67,CHS5556667778,50,86,1032.0
6,1001,10,CER881112L67,CHS5556667778,28,46,828.0
3,1010,4,SEV850615M56,SEV5556667779,15,130,1560.0
7,1010,8,CER881112L67,CHM1112223334,14,102,2550.0
3,1003,1,AXO901201T89,OXC1234567890,25,104,1560.0
6,1001,6,AXO901201T89,OXM9990001114,38,138,1656.0
9,1005,8,SEV850615M56,SEV9990001112,40,176,4400.0
9,1001,4,CER881112L67,CHE4445556667,20,109,1308.0
1,1008,3,AXO901201T89,OXL2223334445,35,67,1005.0
10,1004,3,AXO901201T89,OXA9990001113,29,143,2145.0
8,1002,6,SOR900728N45,SOR6667778889,50,68,816.0
9,1005,2,AXO901201T89,OXP3334445557,36,118,1770.0
7,1007,3,WAL920304R34,WAL4445556667,49,178,2670.0
10,1005,9,WAL920304R34,WAL0001112223,22,51,714.0
8,1004,1,CER881112L67,CHT7778889991,37,206,3090.0
3,1002,1,CER881112L67,CHN3334445558,50,84,1260.0
5,1005,7,SEV850615M56,SEV5556667779,6,237,5925.0
10,1008,6,AXO901201T89,OXP9990001112,8,57,684.0
5,1007,9,AXO901201T89,OXM9990001114,19,32,448.0
3,1004,10,AXO901201T89,OXR1112223334,4,24,432.0
3,1005,6,SEV850615M56,SEV5556667771,42,27,324.0
9,1005,1,CER881112L67,CHP6667778889,24,216,3240.0
4,1010,8,WAL920304R34,WAL7778889991,21,61,1525.0
4,1008,7,WAL920304R34,WAL6667778889,42,76,1900.0
10,1010,9,CER881112L67,CHN3334445558,7,120,1680.0
7,1002,9,AXO901201T89,OXL4445556668,42,116,1624.0
1,1010,7,SEV850615M56,SEV1112223336,27,147,3675.0
4,1010,10,SEV850615M56,SEV5556667779,6,94,1692.0
8,1010,3,AXO901201T89,OXD8889990002,10,168,2520.0
8,1003,10,AXO901201T89,OXM9990001114,31,51,918.0
3,1008,2,SEV850615M56,SEV5556667779,9,118,1770.0
8,1002,9,AXO901201T89,OXX3334445556,1,95,1330.0
6,1010,1,SEV850615M56,SEV0001112224,38,167,2505.0
3,1005,8,AXO901201T89,OXD8889990002,42,128,3200.0
10,1008,3,AXO901201T89,OXZ5556667770,48,178,2670.0
9,1010,6,AXO901201T89,OXA9990001113,33,108,1296.0
9,1009,7,SEV850615M56,SEV9990001112,38,179,4475.0
3,1003,3,AXO901201T89,OXN3334445556,48,160,2400.0
9,1001,10,SEV850615M56,SEV0001112224,48,43,774.0
6,1005,3,AXO901201T89,OXM9990001114,2,94,1410.0
10,1010,1,CER881112L67,CHM1112223334,16,142,2130.0
4,1005,10,AXO901201T89,OXL2223334445,9,97,1746.0
5,1009,9,AXO901201T89,OXI9876543210,20,94,1316.0
8,1005,4,CER881112L67,CHM1112223334,34,90,1080.0
1,1008,1,AXO901201T89,OXH1112223337,8,291,4365.0
2,1004,1,SEV850615M56,SEV5556667779,48,121,1815.0
7,1009,6,WAL920304R34,WAL2223334447,47,58,696.0
9,1007,6,WAL920304R34,WAL1112223334,12,37,444.0
3,1008,10,AXO901201T89,OXR1112223334,46,78,1404.0
8,1006,3,AXO901201T89,OXZ5556667770,16,195,2925.0
4,1003,8,SEV850615M56,SEV6667778880,41,54,1350.0
1,1008,8,SEV850615M56,SEV5556667771,37,112,2800.0
1,1009,3,SEV850615M56,SEV6667778880,6,117,1755.0
3,1001,2,WAL920304R34,WAL5556667778,14,159,2385.0
3,1004,10,AXO901201T89,OXD8889990002,9,141,2538.0
9,1008,6,AXO901201T89,OXA9990001113,10,94,1128.0
6,1001,2,CER881112L67,CHN3334445558,44,108,1620.0
5,1008,7,AXO901201T89,OXL2223334445,39,269,6725.0
5,1009,4,AXO901201T89,OXS8889990001,41,58,696.0
1,1004,3,AXO901201T89,OXS8889990001,9,82,1230.0
9,1001,10,SEV850615M56,SEV6667778880,20,43,774.0
6,1001,10,SEV850615M56,SEV6667778880,49,108,1944.0
4,1007,9,AXO901201T89,OXA9990001113,23,61,854.0
8,1004,7,WAL920304R34,WAL5556667778,16,144,3600.0
2,1001,2,WAL920304R34,WAL6667778890,18,192,2880.0
3,1002,9,SOR900728N45,SOR9990001112,27,146,2044.0
6,1001,8,SEV850615M56,SEV5556667771,35,97,2425.0
6,1002,4,AXO901201T89,OXH1112223337,18,139,1668.0
8,1001,3,SEV850615M56,SEV0001112224,13,148,2220.0
2,1001,2,AXO901201T89,OXR1112223334,47,144,2160.0
7,1008,6,SEV850615M56,SEV5556667771,10,119,1428.0
9,1002,4,WAL920304R34,WAL2223334447,24,49,588.0
8,1002,6,WAL920304R34,WAL0001112223,31,93,1116.0
6,1005,6,AXO901201T89,OXL4445556668,18,148,1776.0
4,1006,2,SOR900728N45,SOR6667778889,15,68,1020.0
10,1005,6,AXO901201T89,OXG0001112224,13,114,1368.0
1,1008,10,CER881112L67,CHI8889990002,13,147,2646.0
2,1003,3,CER881112L67,CHM1112223334,31,33,495.0
5,1005,9,AXO901201T89,OXS8889990001,18,40,560.0
4,1010,8,SEV850615M56,SEV6667778880,41,191,4775.0
9,1004,9,AXO901201T89,OXP9990001112,24,58,812.0
7,1004,3,SOR900728N45,SOR6667778889,41,105,1575.0
7,1004,2,AXO901201T89,OXM9990001114,45,191,2865.0
10,1002,4,CER881112L67,CHN3334445558,29,105,1260.0
7,1009,4,AXO901201T89,OXL2223334445,9,61,732.0
6,1005,10,WAL920304R34,WAL1112223334,6,20,360.0
2,1005,7,WAL920304R34,WAL0001112223,25,242,6050.0
4,1008,4,CER881112L67,CHT7778889991,32,86,1032.0
5,1009,10,SOR900728N45,SOR6667778889,35,113,2034.0
1,1008,4,AXO901201T89,OXG0001112224,20,115,1380.0
9,1004,6,AXO901201T89,OXB4445556669,43,113,1356.0
2,1006,2,AXO901201T89,OXX3334445556,46,94,1410.0
5,1005,1,AXO901201T89,OXA9990001113,32,96,1440.0
1,1005,9,CER881112L67,CHP6667778889,17,95,1330.0
5,1009,3,CER881112L67,CHS5556667778,42,86,1290.0
7,1010,6,CER881112L67,CHS5556667778,23,79,948.0
3,1009,2,WAL920304R34,WAL2223334447,40,123,1845.0
3,1008,10,WAL920304R34,WAL0001112223,16,60,1080.0
5,1002,1,WAL920304R34,WAL7778889991,18,171,2565.0
9,1004,6,AXO901201T89,OXA9990001113,18,77,924.0
3,1002,7,WAL920304R34,WAL1112223335,34,151,3775.0
9,1002,7,CER881112L67,CHS5556667778,28,166,4150.0
1,1006,2,AXO901201T89,OXX3334445556,13,155,2325.0
3,1003,4,AXO901201T89,OXN3334445556,35,98,1176.0
6,1005,10,CER881112L67,CHC2223334446,16,82,1476.0
3,1004,2,CER881112L67,CHT7778889991,15,151,2265.0
10,1008,1,AXO901201T89,OXM9990001114,19,234,3510.0
4,1008,8,SEV850615M56,SEV4445556667,38,159,3975.0
2,1003,2,SEV850615M56,SEV2223334445,17,191,2865.0
9,1004,6,SEV850615M56,SEV6667778880,17,22,264.0
5,1008,5,WAL920304R34,WAL0001112223,31,121,1452.0
6,1001,1,AXO901201T89,OXP9990001112,26,214,3210.0
6,1002,6,SEV850615M56,SEV2223334445,39,64,768.0
8,1005,2,WAL920304R34,WAL1112223335,8,85,1275.0
3,1001,10,SEV850615M56,SEV0001112224,13,116,2088.0
7,1005,9,AXO901201T89,OXX3334445556,43,129,1806.0
10,1001,1,AXO901201T89,OXP3334445557,29,300,4500.0
4,1001,9,AXO901201T89,OXM9990001114,48,124,1736.0
9,1008,8,SEV850615M56,SEV9990001112,50,134,3350.0
3,1009,6,AXO901201T89,OXJ0001112225,3,144,1728.0
2,1008,7,SEV850615M56,SEV3334445556,1,113,2825.0
1,1003,2,WAL920304R34,WAL6667778889,2,158,2370.0
2,1005,8,WAL920304R34,WAL5556667778,50,92,2300.0
6,1008,10,SEV850615M56,SEV4445556667,18,118,2124.0
7,1009,7,WAL920304R34,WAL5556667778,12,144,3600.0
10,1008,10,SEV850615M56,SEV3334445556,49,103,1854.0
9,1010,8,CER881112L67,CHT7778889991,38,185,4625.0
4,1009,8,SEV850615M56,SEV3334445556,3,170,4250.0
5,1009,5,SEV850615M56,SEV0001112224,48,50,600.0
5,1006,1,AXO901201T89,OXP3334445557,6,227,3405.0
6,1003,3,SOR900728N45,SOR8889990001,47,192,2880.0
6,1008,4,SOR900728N45,SOR9990001112,37,82,984.0
5,1007,6,AXO901201T89,OXJ0001112225,18,128,1536.0
2,1007,3,AXO901201T89,OXN3334445556,44,200,3000.0
9,1004,3,SOR900728N45,SOR0001112223,37,34,510.0
3,1005,6,WAL920304R34,WAL6667778889,46,103,1236.0
3,1006,10,AXO901201T89,OXM9990001114,29,122,2196.0
3,1005,6,SEV850615M56,SEV4445556667,24,38,456.0
3,1007,6,AXO901201T89,OXP9990001112,32,130,1560.0
8,1001,5,SEV850615M56,SEV0001112224,42,40,480.0
7,1002,8,SEV850615M56,SEV4445556667,31,50,1250.0
8,1010,4,SEV850615M56,SEV4445556667,23,123,1476.0
6,1001,4,AXO901201T89,OXL4445556668,49,107,1284.0
10,1008,7,AXO901201T89,OXL4445556668,27,172,4300.0
6,1006,3,AXO901201T89,OXM9990001114,42,105,1575.0
5,1001,3,WAL920304R34,WAL7778889991,4,176,2640.0
1,1010,7,SOR900728N45,SOR7778889990,8,238,5950.0
6,1005,1,SEV850615M56,SEV4445556667,34,119,1785.0
10,1010,9,AXO901201T89,OXR1112223334,17,44,616.0
1,1006,1,SEV850615M56,SEV2223334445,43,185,2775.0
3,1009,10,WAL920304R34,WAL6667778890,21,94,1692.0
6,1006,5,SEV850615M56,SEV3334445556,35,52,624.0
2,1006,8,SEV850615M56,SEV5556667779,49,129,3225.0
7,1001,2,CER881112L67,CHT7778889991,31,128,1920.0
1,1004,10,CER881112L67,CHE4445556667,10,22,396.0
8,1002,4,WAL920304R34,WAL6667778889,5,57,684.0
8,1006,4,SEV850615M56,SEV5556667771,43,78,936.0
8,1004,3,SOR900728N45,SOR7778889990,15,131,1965.0
8,1010,2,AXO901201T89,OXC1234567890,50,32,480.0
1,1001,10,SEV850615M56,SEV0001112224,18,82,1476.0
2,1006,5,SOR900728N45,SOR0001112223,22,115,1380.0
9,1004,6,AXO901201T89,OXL4445556668,29,89,1068.0
4,1005,5,WAL920304R34,WAL2223334447,12,26,312.0
1,1003,3,CER881112L67,CHE4445556667,12,83,1245.0
9,1004,7,SEV850615M56,SEV3334445556,48,113,2825.0
2,1006,2,AXO901201T89,OXN3334445556,10,135,2025.0
2,1010,9,SEV850615M56,SEV2223334445,7,46,644.0
2,1005,1,CER881112L67,CHE4445556667,36,145,2175.0
1,1009,4,CER881112L67,CHM1112223334,41,127,1524.0
1,1010,7,AXO901201T89,OXN3334445556,12,76,1900.0
2,1002,8,WAL920304R34,WAL4445556667,21,181,4525.0
1,1010,3,SEV850615M56,SEV4445556667,6,163,2445.0
9,1006,3,AXO901201T89,OXP3334445557,45,110,1650.0
4,1004,3,WAL920304R34,WAL0001112223,10,132,1980.0
6,1005,9,AXO901201T89,OXC7778889990,3,79,1106.0
5,1010,2,WAL920304R34,WAL0001112223,43,138,2070.0
7,1008,6,AXO901201T89,OXC7778889990,37,149,1788.0
10,1003,10,SEV850615M56,SEV4445556667,5,50,900.0
7,1010,2,WAL920304R34,WAL2223334447,36,65,975.0
2,1006,5,WAL920304R34,WAL6667778890,41,39,468.0
5,1005,7,AXO901201T89,OXB4445556669,32,213,5325.0
5,1008,2,SOR900728N45,SOR8889990001,9,146,2190.0
5,1001,6,AXO901201T89,OXS8889990001,13,26,312.0
10,1008,1,WAL920304R34,WAL6667778889,45,182,2730.0
2,1003,5,AXO901201T89,OXB4445556669,2,81,972.0
8,1008,6,CER881112L67,CHE4445556667,28,85,1020.0
8,1008,6,SEV850615M56,SEV5556667779,26,29,348.0
8,1007,8,CER881112L67,CHI8889990002,4,172,4300.0
4,1006,4,AXO901201T89,OXP9990001112,7,139,1668.0
4,1003,5,AXO901201T89,OXC1234567890,4,66,792.0
3,1002,2,WAL920304R34,WAL2223334447,38,162,2430.0
8,1009,8,WAL920304R34,WAL7778889991,42,141,3525.0
6,1007,2,AXO901201T89,OXA9990001113,25,42,630.0
8,1002,7,AXO901201T89,OXM9990001114,48,235,5875.0
3,1007,9,CER881112L67,CHN3334445558,34,123,1722.0
7,1008,4,CER881112L67,CHP6667778889,37,57,684.0
3,1007,9,AXO901201T89,OXJ0001112225,26,97,1358.0
1,1002,8,AXO901201T89,OXR1112223334,26,183,4575.0
7,1006,9,AXO901201T89,OXB4445556669,27,141,1974.0
1,1010,4,AXO901201T89,OXZ5556667770,25,85,1020.0
6,1001,7,AXO901201T89,OXC7778889990,27,98,2450.0
5,1008,6,SEV850615M56,SEV1112223336,11,90,1080.0
7,1008,2,AXO901201T89,OXA9990001113,42,149,2235.0
10,1008,3,CER881112L67,CHC2223334446,22,45,675.0
3,1002,9,AXO901201T89,OXG0001112224,25,67,938.0
8,1001,2,SOR900728N45,SOR0001112223,38,156,2340.0
3,1002,10,CER881112L67,CHE4445556667,31,83,1494.0
4,1007,3,WAL920304R34,WAL6667778889,40,86,1290.0
9,1010,6,AXO901201T89,OXZ5556667770,3,144,1728.0
4,1005,3,SEV850615M56,SEV1112223336,17,167,2505.0
9,1002,1,AXO901201T89,OXL2223334445,20,265,3975.0
9,1002,3,SEV850615M56,SEV6667778880,8,43,645.0
3,1001,9,AXO901201T89,OXX3334445556,32,60,840.0
7,1003,3,SOR900728N45,SOR9990001112,3,66,990.0
7,1005,9,CER881112L67,CHM1112223334,24,69,966.0
10,1009,3,CER881112L67,CHM1112223334,25,146,2190.0
9,1007,6,CER881112L67,CHC2223334446,1,68,816.0
5,1009,1,CER881112L67,CHC2223334446,40,188,2820.0
3,1006,9,AXO901201T89,OXD8889990002,34,145,2030.0
7,1010,1,AXO901201T89,OXP9990001112,17,222,3330.0
8,1007,5,WAL920304R34,WAL7778889991,46,44,528.0
1,1007,2,SOR900728N45,SOR0001112223,36,114,1710.0
6,1009,3,CER881112L67,CHE4445556667,47,70,1050.0
8,1009,3,WAL920304R34,WAL6667778890,1,80,1200.0
2,1010,4,SEV850615M56,SEV9990001112,46,111,1332.0
1,1001,7,CER881112L67,CHS5556667778,38,215,5375.0
2,1004,4,WAL920304R34,WAL5556667778,23,136,1632.0
1,1004,10,WAL920304R34,WAL1112223334,11,20,360.0
2,1009,7,AXO901201T89,OXP9990001112,24,142,3550.0
8,1005,10,AXO901201T89,OXB4445556669,25,121,2178.0
10,1005,5,AXO901201T89,OXP9990001112,50,136,1632.0
2,1002,2,AXO901201T89,OXI9876543210,30,64,960.0
2,1004,1,SEV850615M56,SEV5556667779,22,256,3840.0
8,1002,1,AXO901201T89,OXM9990001114,4,159,2385.0
9,1003,9,WAL920304R34,WAL7778889991,23,99,1386.0
4,1008,1,CER881112L67,CHT7778889991,26,216,3240.0
4,1007,1,AXO901201T89,OXZ5556667770,5,200,3000.0
3,1002,4,SEV850615M56,SEV3334445556,10,93,1116.0
2,1002,1,WAL920304R34,WAL1112223334,50,63,945.0
9,1006,10,SEV850615M56,SEV4445556667,47,107,1926.0
10,1001,10,AXO901201T89,OXP3334445557,47,123,2214.0
3,1001,6,SEV850615M56,SEV9990001112,6,97,1164.0
8,1010,6,SOR900728N45,SOR7778889990,1,125,1500.0
8,1007,5,CER881112L67,CHC2223334446,18,81,972.0
9,1004,7,CER881112L67,CHN3334445558,29,163,4075.0
7,1006,1,WAL920304R34,WAL7778889991,5,97,1455.0
4,1007,5,WAL920304R34,WAL7778889991,30,28,336.0
3,1010,2,WAL920304R34,WAL2223334447,16,192,2880.0
8,1002,10,AXO901201T89,OXL2223334445,49,74,1332.0
8,1008,2,AXO901201T89,OXR1112223334,12,76,1140.0
9,1001,10,AXO901201T89,OXA9990001113,35,93,1674.0
9,1007,8,CER881112L67,CHS5556667778,23,61,1525.0
5,1001,2,WAL920304R34,WAL1112223335,22,97,1455.0
6,1009,9,AXO901201T89,OXB4445556669,13,123,1722.0
7,1006,3,AXO901201T89,OXP3334445557,9,166,2490.0
5,1003,4,AXO901201T89,OXH1112223337,38,150,1800.0
10,1002,6,CER881112L67,CHP6667778889,42,27,324.0
6,1003,9,AXO901201T89,OXB4445556669,2,25,350.0
3,1004,7,AXO901201T89,OXC7778889990,1,147,3675.0
5,1004,5,AXO901201T89,OXM9990001114,27,115,1380.0
1,1003,8,WAL920304R34,WAL1112223334,12,97,2425.0
4,1001,9,AXO901201T89,OXD8889990002,49,94,1316.0
